CustomerName_x,SupplierName_x,SupplierCompanyRegistrationNumber,Contract Start Date,Contract End Date,Contract Duration (Months),Contract Title,Contract Description,Total Contract Value - Low (GBP),Total Contract Value - High (GBP),SupplierKey,SupplierName_y,CustomerName_y,FinancialYear,FinancialMonth,EvidencedSpend
CustomerName_8,SupplierName_8,REG1008,2024-01-09,2028-04-17,52.0,Contract Title_8,Contract Description_8,608507,652066.0,KEY108,SupplierName_8,CustomerName_8,2019.0,10.0,2460.17
CustomerName_9,SupplierName_9,REG1009,2024-01-10,2028-09-15,57.0,Contract Title_9,Contract Description_9,855506,903359.0,KEY109,SupplierName_9,CustomerName_9,2022.0,2.0,3958.51
CustomerName_9,SupplierName_9,REG1009,2024-01-10,2028-09-15,57.0,Contract Title_9,Contract Description_9,855506,903359.0,KEY109,SupplierName_9,CustomerName_9,2021.0,2.0,1979.255
CustomerName_10,SupplierName_10,REG1010,2024-01-11,2027-09-22,45.0,Contract Title_10,Contract Description_10,238078,248471.0,KEY110,SupplierName_10,CustomerName_10,2020.0,10.0,3790.18
CustomerName_10,SupplierName_10,REG1010,2024-01-11,2027-09-22,45.0,Contract Title_10,Contract Description_10,238078,248471.0,KEY110,SupplierName_10,CustomerName_10,2019.0,10.0,1895.09
CustomerName_11,SupplierName_11,REG1011,2024-01-12,2025-11-02,22.0,Contract Title_11,Contract Description_11,687505,712432.0,KEY111,SupplierName_11,CustomerName_11,2021.0,4.0,796.75
CustomerName_11,SupplierName_11,REG1011,2024-01-12,2025-11-02,22.0,Contract Title_11,Contract Description_11,687505,712432.0,KEY111,SupplierName_11,CustomerName_11,2020.0,4.0,398.375
CustomerName_12,SupplierName_12,REG1012,2024-01-13,2025-10-04,21.0,Contract Title_12,Contract Description_12,395161,,KEY112,SupplierName_12,CustomerName_12,2022.0,5.0,4054.35
CustomerName_12,SupplierName_12,REG1012,2024-01-13,2025-10-04,21.0,Contract Title_12,Contract Description_12,395161,,KEY112,SupplierName_12,CustomerName_12,2021.0,5.0,2027.175
CustomerName_13,SupplierName_13,REG1013,2024-01-14,,,,Contract Description_13,458449,486561.0,KEY113,SupplierName_13,CustomerName_13,2020.0,3.0,2290.35
CustomerName_13,SupplierName_13,REG1013,2024-01-14,,,,Contract Description_13,458449,486561.0,KEY113,SupplierName_13,CustomerName_13,2019.0,3.0,1145.175
CustomerName_14,SupplierName_14,REG1014,2024-01-15,2026-02-03,25.0,Contract Title_14,Contract Description_14,358521,386602.0,KEY114,SupplierName_14,CustomerName_14,2020.0,11.0,3881.17
CustomerName_14,SupplierName_14,REG1014,2024-01-15,2026-02-03,25.0,Contract Title_14,Contract Description_14,358521,386602.0,KEY114,SupplierName_14,CustomerName_14,2019.0,11.0,1940.585
,SupplierName_15,REG1015,2024-01-16,2028-03-25,51.0,Contract Title_15,Contract Description_15,96594,108664.0,KEY115,,,,,
CustomerName_16,SupplierName_16,REG1016,2024-01-17,2027-12-27,48.0,Contract Title_16,Contract Description_16,863667,907178.0,KEY116,,,,,
CustomerName_17,SupplierName_17,REG1017,2024-01-18,2026-02-06,25.0,Contract Title_17,Contract Description_17,697735,729843.0,KEY117,,,,,
CustomerName_18,SupplierName_18,REG1018,2024-01-19,2025-06-12,17.0,Contract Title_18,Contract Description_18,197453,220490.0,KEY118,,,,,
CustomerName_19,SupplierName_19,REG1019,2024-01-20,2028-06-27,54.0,Contract Title_19,Contract Description_19,694389,708604.0,KEY119,,,,,
